id,question,option1,option2,option3,option4,answer,category,difficulty
90,What is the Pythagorean theorem?,a + b = c,a squared + b squared = c squared,a times b = c,a squared minus b squared = c,a squared + b squared = c squared,General Knowledge,medium
91,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Golgi Apparatus,Mitochondria,General Knowledge,easy
92,Which country has the largest population?,USA,India,Russia,China,China,General Knowledge,easy
93,What is the hardest natural substance?,Gold,Iron,Diamond,Quartz,Diamond,General Knowledge,easy
94,What is the boiling point of water at sea level?,90C,95C,100C,105C,100C,General Knowledge,easy
95,How many sides does a hexagon have?,5,6,7,8,6,General Knowledge,easy
96,What is the study of earthquakes called?,Meteorology,Geology,Seismology,Volcanology,Seismology,General Knowledge,medium
97,Which gas makes up most of Earth's atmosphere?,Oxygen,Carbon Dioxide,Argon,Nitrogen,Nitrogen,General Knowledge,medium
98,What is the largest mammal?,Elephant,Blue Whale,Giraffe,Hippopotamus,Blue Whale,General Knowledge,easy
99,What is the currency of Japan?,Won,Yuan,Yen,Rupee,Yen,General Knowledge,easy
100,In what year was the internet publicly launched?,1983,1989,1991,1995,1991,General Knowledge,medium
